text	label
Incidente vial entre camión 🚚 y 2 motociclistas 🏍‍ en la calle 80 con Av. Boyacá, sentido occidente - oriente.Unidad de 👮 @TransitoBta asignada.	1
Incidente vial caída de motociclista ‍🏍  en la calle 85 con carrera  15.Unidad de 👮@TransitoBta y 🚑 asignadas.	1
Incidente vial entre 🚙 en la Autosur con carrera 68, sentido soacha - bogota.Unidad de 👮 @TransitoBta asignada.	1
Incidente vial entre particular🚘 y un m‍otociclista 🏍 en la calle 52 A sur con carrera 32, sentido oriente - occidente. Unidad de 👮TransitoBta y 🚑 asignadas.	1
⚠ Se presenta bus varado en la Av. Cali con calle 131 Bis, sentido sur - norte.Se gestiona unidad de 👮 @TransitoBta y asistencia.	0
#SeMarchaPor #CityCubre Avanzan con normalidad dos movilizaciones estudiantiles en Bogotá. La primera se encuentra por la Carrera 7 con calle 53 hacia el norte. La segunda se dirige por la Carrera 30 con calle 28. Siga el minuto a minuto aquí► https://t.co/2KZQQiBBFp	0
frente al hospital de kennedy una moto chocó a una señora y a su esposo, las personas intentan ingresar a la señaor al hospital.	1
@numeral767 que pasa en Ventanas (Antioquía)? Algún accidente?	0
5:30 AV AMERICAS X CRA 40 OC-OR: Se presenta incidente vial entre sitp y motociclista.	1
Accidente en Autopista Sur &gt; Oriente #traficobogota. Tráfico 1h 8m más lento de lo habitual. https://t.co/moHLMdsqt5 https://t.co/7UjdNiS76E	1
Incidente vial se presenta caída de motocicleta 🏍‍ en la calle 44 Sur con carrera 24.Unidad de 👮 @TransitoBta asignada.	1
RT @JavieRuizGomez: #MovilidadProvincia se registra accidente frente al hospital el salvador de Ubaté, involucrados 2 vehículos y una moto,…	1
@natiibedoya @LAPlazasVega @CeDemocratico Más de 260 .....La cagada fue que se las mecateo por el camino por qué no han aparecido.....🙊🙊🙊🙊🙊	0
@lafm @JenniferPedraz Pues busquen otras maneras de financiar los faltantes. Esto no es sólo pedir y pedir. Busquen alternativas. Pero los estudiantes deben ser co-responsables de todas las pérdidas a todo nivel, si invitan a manifestaciones deben saber que si hay daños deben ayudar a pagarlos.	0
Incidente vial caída de motociclista 🏍️ en la Autonorte con calle 85, sentido norte - sur.Unidad de 👮@TransitoBta y 🚑 asignadas	1
Incidente vial entre particular 🚘 y motociclista 🏍‍ en la Av. Cali con calle 1B, sentido sur - norte.Unidad de 👮 TransitoBta asignada.	1
📢#Atención: Al momento persisten los cierres en la Av. Circunvalar con calle 26C, debido a manifestantes en la @udistrital sede Macarena. Se recomienda, si va hacia el norte, tomar como vías alternas la carrera 7 y carrera 10. @Bocarejo_JP , @BogotaTransito https://t.co/8WMkj8YSyL	0
Jajajakkajakaakjajjajaja dode estará ese man jajajjaja https://t.co/SojdeV1tz5	0
.#Bogota: Dos personas murieron en un accidente de tránsito en el occidente de Bogotá https://t.co/Ls8zolehH2 https://t.co/ETpelZYdfv #BogotaCity	1
RT @SoyDrGarcia: A @MartinSantosR se le borró este tuit por accidente, pero aquí se lo tengo. ¿Acaso insinuó que @ernestomaciast es un deli…	0
Accidente en Carrera 7ª #traficobogota. Tráfico moviéndose 28m más lento de lo normal. https://t.co/moHLMdsqt5 https://t.co/L6M84brU5t	1
@TransMilenio @BogotaTransito @RedapBogota Gracias por la información, pero sigo insistiendo se estrellan dos bicicletas y colapsa el tráfico en Bogotá.	0
Incidente vial caída de motociclista 🏍 en la carrera Autonorte  con calle  170, sentido norte - sur.Unidad de 👮 @TransitoBta asignada.	1
💥 Tractocamion 🚛 contra objeto fijo 🛑 en la carrera 71 con calle 79 A (conectante Av Boyaca al norte) Se asigna unidad de👮🏻 @TransitoBta. 🚑 y 🚒 @BomberosBogota.	1
Que parezca un accidente 🤣	0
intersección semaforica de la cra 70D con Av calle 116 se encuentra apagada, paso a riesgo en todos los sentidos	0
Incidente vial entre  particular 🚘 y taxi 🚖‍ en la Av Esperanza con carrera 81 C, sentido oriente-occidente.Unidad de 👮 @TransitoBta asignada	1
Sube a ocho el número de muertos tras accidente de bus que rodó por abismo en #Boyacá https://t.co/vIIHTHQlW5 #MañanasBLU https://t.co/m3hNYyS6xl	1
@IvanDuque @MinHacienda @MinTransporteCo @EnriquePenalosa @TransMilenio Y la plata para la educación publica?? Donde esta su compromiso con los estudiantes del país???	0
⚠ Se presenta camión varado en la Autonorte con calle 161, sentido sur - norte.Se gestiona unidad de 👮 @TransitoBta y asistencia.	0
@Larobledo_c JAJAJAJAJA ESA GENTE VA VOLANDO	0
@ElDesayunoRCN El conductor de la tractomula ni se enteró que eso sucedió (imprudencia del motociclista de acuerdo al cod. tránsito), con un simple derecho de petición al Fiscal del caso, Franky se entera de la gestión y rta de Policía de Tráns. motivo por el cual no puede acceder al vídeo...	0
[Video] Fuerte accidente frente al Hospital El Salvador en Ubaté, Cundinamarca. https://t.co/Z7jn0p4cQr	1
Piques ilegales entre dos lujosos vehículos habrían ocasionado un tremendo accidente: https://t.co/vHmyJvzmAp	1
RT @hollmanradioweb: @Coviandes Hace unos minutos en el Km 64 vía Bta-Vcio se registró un accidente a la altura del Puente La Pala, al pere…	1
⚠ Se presenta carrotanque varado en la calle  59 Sur con Autosur, sentido oriente - occidente.Se gestiona unidad de 👮 @TransitoBta y asistencia.	0
Es muy cierto lo que dice @ArabeSinCamello  las voces de las  enfermeras en los consultorios cuando hacen el llamado , son muy cachondas 😂😂😂	0
Se presenta un accidente de tránsito que involucra una van que transportaba ataúdes, en la avenida 68 con Esperanza, frente a la Clínica Colombia. El conductor del vehículo resultó herido #MañanasBLU → https://t.co/WGzjCQI0cg https://t.co/jLqlNmXejv	1
@ladivaza has estado con algún fan ? Habla mardita	0
Incidente vial entre particular  🚘 y un taxi  🚖‍ en la Av, 1 de Mayo  con carrera 39 sur, sentido oriente - occidente.Unidad de 👮 @TransitoBta asignada.	1
RT @Bocarejo_JP: El 14 de diciembre murieron 2 peatones atropellados por conductores de transporte público y un ciclista por un conductor d…	0
camión 🚛 choca contra vivienda 🏠 en la calle 68 A bis con carrera  105 C. Se asigna unidad de👮🏻 @TransitoBta. 🚑 y 🚒 @BomberosBogota	1
Así mismo, la #ADRES ha tenido que costear los gastos médicos, las indemnizaciones por muerte y auxilios funerarios de 99.836 víctimas de accidentes de tránsito con vehículos no identificados🚗💥🏎️👉https://t.co/oPTXL2AWih	0
@BogotaTransito @TransitoPolicia @SectorMovilidad por favor su ayuda con los mal parqueados de la calle 24A, justo en frente del nuevo Hotel Grand Hyatt. Las señales son mas que visibles, y el trafico es muy dificil para los residentes del sector	0
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Hoy volví a la universidad después de 4 días de incapacidad. Cuando me preguntaron """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""qué te pasó?"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", dije: sufrí un accidente en mi casa.....Expectativa vs realidad. (Versión gráfica) https://t.co/pTBlbMLR4b"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	0
💥  Incidente vial,  caída de motocicleta  ‍🏍  en la Av 1 Mayo con carrera 30. Unidad de 👮@TransitoBta y 🚑 asignadas.	1
RT @PortalNews_co: Otro aparatoso accidente en la vía Zipaquirá - Ubaté #Cundinamarca #Zipaquirá #Ubaté #Neusa #Movilidad #accidentes https…	1
Una camioneta terminó volcada luego de que su conductor en aparente estado de embriaguez estrellara a un taxi en la calle 13 con carrera 34. #ElNoctámbulo #ArribaBogotá https://t.co/e1kgq39XJ7	1
Muere joven motociclista en accidente de tránsito en la vía Garzón - El Agrado https://t.co/VOmQK5ZZG3	1
congestion en la ak  68 hacia el norte desde la calle tercera hasta la Calle 17 y otro tramo congestionado desde la calle 17 hasta la calle 22 cruce con la con el ferrocarril en el sector del espectador	0
A la hora se presenta accidente con persona fallecida en el sector de Italcol, sentido Mosquera - Bogotá. Se inicia el procedimiento de levantamiento por parte de la unidad judicial con cierre a un carril.	1
#ElNoctámbulo Un aparatoso accidente se presentó en Usme aparentemente producto de exceso de velocidad. Una camioneta de alta gama terminó estrellada contra un semáforo y volcada #ArribaBogotá https://t.co/nSYrcUxrji	1
@ElDiegoz1 Nehhhh se trabaja mejor a fin de año, el tráfico fluye, no hay casi nadie trabajando por eso rinde más y los dejan salir más temprano, así guarda las vacaciones para cuando no sea tan caro viajar. #NoHagaShow	0
Incidente vial entre 2 particulares 🚘‍ en la Av. Cali con calle 66, sentido norte - sur.Unidad de 👮 TransitoBta asignada.	1
09:48hrs.El bebé despertó.Había furia en su mirada.La casa se nos quedó chica.Decidí salir buscando aire.Su aire.Vamos a un sitio de juegos.Pero esto no es ningún juego... https://t.co/4LWRc0tuxD	0
RT @ChriGarces: Lamentamos el accidente que se presentó en la vía Loboguerrero - Buga, donde perdieron la vida nueve personas. Mis condolen…	1
Incidente vial entre dos particulares  🚘 en la calle 13  con calle 70, Unidad de 👮 TransitoBta asignada.	1
Las tostadas de arroz con mantequilla de maní lo son todo:(	0
incendio vehicular en la carrera 7a calle 236 la máquina de bomberos que iba a atender colisionó con un bus del sitp en la 7 con 183	1
RT @mafereportera: Un bus del Sitp chocó con un ciclista en la Av. Boyacá con calle 127 (sur-norte) a las 4:00am. El ciclista perdió la vid…	1
Incidente vial se presenta caída de motociclista  ‍🏍  en la carrera 30 con calle  45, sentido sur - norte. Unidad de 👮@TransitoBta y 🚑 asignadas.	1
Incidente vial caída de motociclista ‍🏍  en la carrera  80 con calle 114, sentido oriente  - occidente. Unidad de 👮@TransitoBta y 🚑 asignadas.	1
Incidente vial entre taxi 🚖 y un motociclista  ‍🏍  en la carrera 7 con calle 74, sentido sur - norte. Unidad de 👮@TransitoBta.	1
⚠ Se presenta volcamiento de vehículo particular 🚘 en la carrera 10 este con calle 22 sur. Se gestiona unidad de 👮 @TransitoBta y asistencia.	1
Frente a hospital Meissen accidente de camión contra un automóvil solo latas Fuete trancon de Portal Tunal al hospital N - S	1
💥  Incidente vial, caída de motociclista 🏍‍ en la carrera 68  con calle 63, sentido norte-sur.Unidad de 👮 @TransitoBta asignada.	1
Incidente vial entre particular 🚘 y motociclista 🏍‍ en la calle 22 con carrera 96C.Unidad de 👮 TransitoBta asignada.	1
Revelaron las causas que provocaron el accidente del helicóptero del dueño del Leicester: https://t.co/NZXzwlxWaS	0
📢#AEstaHora se desarrolla la caminata contra la diabetes y la obesidad en el Día del Peatón. Los caminantes avanzan por la calle 72 con 11 para luego tomar la carrera 7 hacia el sur hasta el Parque Nacional. Autoridades acompañan el recorrido. https://t.co/9raJM3SUdp	0
Diez heridos deja accidente en el kilómetro 48 de la vía Ponedera- Campo de la Cruz por un choque  entre un bus de transporte intermunicipal y un automóvil → https://t.co/WGzjCQI0cg #VocesySonidos https://t.co/tQDF0psCuE	1
Mi pesebre es tan colombiano que el niño que van adorar es el que diga Uribe.Sí ya pasó una vez, ¿porqué no puede volver a pasar?	0
Accidente en Autopista Sur &gt; Oriente #traficobogota. Tráfico 48m más lento de lo habitual. https://t.co/CpCGnnNKEn https://t.co/pYugEHuFDy	1
@BogotaTransito @TransitoBta La cicla quedó debajo del bús Alimentador. Pero el que embistió al ciclista fue el vehículo. Es un auto azul particular. No logré ver mucho. Tal vez un corsa. Salieron en su persecución otros ciclistas. #suba #calle139 #fuga #accidente	1
RT @JHope__Mexico: INFO| #방탄소년단 #정호석 #제이홉 #BTS⁠ ⁠ #JHOPEMientras BTS volvía al hotel después del concierto, hubo un accidente menor (poco…	0
🌧⛈ de acuerdo al sistema de alerta de Bogotá @IDIGER, se reportan lluvias en las siguientes localidades de la ciudad:NororienteNoroccidenteOccidenteRecuerde maneje con precaución.https://t.co/DL3G4z6ehI https://t.co/uwJok94GeE	0
Creo que necesito unos de esos.	0
No porque seguiría Marta Lucha y uno ya no sabe que es peor. Que la primera presi mujer de Colombia sea por accidente o que tenga ideales como los de Marta Lucha.	0
trancón en la carrera décima en el sentido Sur Norte desde calle 7a Sur hasta la Glorieta de la calle 6a	0
⚠ Se presenta volqueta varada en la Av. Suba con  calle 137D, sentido sur - norte.Se gestiona unidad de 👮 @TransitoBta y asistencia.	0
RT @NoticiasRCN: Se presenta un accidente de tránsito en inmediaciones del municipio de Zipaquirá, Cundinamarca. Dos personas pierden la vi…	1
Accidente en Calle 19 &gt; Oriente #traficobogota. Tráfico 22m más lento de lo habitual. https://t.co/moHLMdsqt5 https://t.co/OCbGpofPNS	1
@DanielSamperO @DanielSamperO también por los lados de la calle 100 un conductor atropelló estudiantes y salió huyendo hacia el sur. Placas PNK 283. Ayuda a difundir esto porfa	1
Por la avenida Boyacá con calle 12 en sentido sur - norte Por la autopista Norte entre la calle 164 a la calle 193 al nortePor la calle 13 entre la carrera 129 a la carrera 100 al oriente	0
Incidente vial entre particular 🚙 y un motociclista 🏍‍ en la Av. Boyacá con calle 116.Unidad de 👮 TransitoBta asignada.	1
Incidente vial entre particular 🚘 y un m‍otociclista 🏍  en la Av. Esperanza con carrera  97, sentido oriente - occidente. Unidad de 👮TransitoBta y 🚑 asignadas.	1
No quiero que me dejen de importar las cosas porque paila, me conozco, no hay marcha atrás. Es solo que hay veces que siento que ya nada importa.	0
Accidente de tránsito se registró en la vía que de Tame comunica con Fortul https://t.co/xhigKJxPzW	1
💥  Incidente vial entre bus 🚌 y particular 🚘  en la carrera 68 con calle 73, sentido norte - sur.Unidad de 👮 @TransitoBta asignada	1
💥  Incidente vial entre dos busetas de Servicio Especial 🚌  en la Diagonal 59 A sur con carrera  81 C , sentido norte - sur. Unidad de 👮TransitoBta y 🚑 asignadas	1
Inicia marcha SENA ChapineroA esta hora inicia el primer recorrido de estudiantes del SENA desde la calle 65 por toda la carrera 13 hacia el sur.	0
Incidente vial entre particular 🚘 y motocicleta 🏍 en la carrera  16 con calle 33A, sentido occidente - oriente.Unidad de 👮 @TransitoBta asignada.	1
Se acaban los cultivos de coca automáticamente se controla la corrupción, se genera y por su puesto se llega a un estado de paz con suficiente seguridad.	0
la carrera 80 G la que va por la plaza mercado de las Flores está completamente trancada entre la avenida Las américas y la dg 2a salida de abastos	0
⚠ Se presenta vehículo varado en la carrera  68 con  calle 22A, sentido sur - norte.Se gestiona unidad de 👮 @TransitoBta y asistencia.	0
Inadmisible que estas conductas delictivas se intenten calificar como medio de protesta o peor cómo un chiste.Castigo ejemplar para las “personas”que planearon y cometieron este atropello en contra del Congreso @CeDemocratico @nperezvasquez @AlvaroUribeVel @PalomaSenadora https://t.co/NTFP8mrUoy	0
Incidente vial entre camión 🚛y bus 🚌 en la Av. Boyacá con calle 80, sentido norte - sur.Unidad de 👮 @TransitoBta asignada	1
Dicen que de cantantes, poetas y locos, todos tenemos un poco. (Yo tengo las tres).	0
avenida Las Américas presenta los siguientes tramos con congestión desde banderas hasta la carrera 73 sentido occidente Oriente desde la carrera 71 a hasta la carrera 63 y al Oriente desde antes del puente de Puente Aranda, carrera 56 hasta la carrera 42,	0
@NoticiasCaracol Espero que lo hagan sin dañar los bienes públicos, ademas sin ondear banderas llenas de sangre y narcotrafico (ELN, FARC, M19, ETC) no sean mierdas con Colombia, No necesitamos más violencia.	0
@BogotaTransito choque entre 2 bicicletas y moto en la 116 con 11	1
CL 80 X CRA 106 OR-OC: Se presenta incidente vial  entre alimentador y particular .	1
⚠ Se presenta particular varado en la carrera  7 con  calle 45, sentido sur - norte.Se gestiona unidad de 👮 @TransitoBta y asistencia.	0
Raro que no hubiera amanecido estos días así, rayada hasta el culo.	0
💥  Incidente vial entre particular 🚘 y un taxi  🚖‍ en la carrera  68 con calle 94, sentido sur - norte.Unidad de 👮 @TransitoBta asignada.	1
Y entonces, Cuantos disco de oro y platino automatizados?	0
@pabloemiliomh Cheveres de las con chocolate!! Para ser zorrita de los deseos estás muy desubicado	0
RT @Dinteresante: Harold es el nombre de este perro, estas fotos fueron tomadas luego de que sus amos fallecieran en un accidente de transi…	0
💥  Incidente vial entre un particular 🚘 y un bus 🚌 en la calle 134 con carrera 54, sentido oriente - occidente.Unidad de 👮 TransitoBta asignada.	1
RT @BluRadioCo: Se encuentra cerrada la carrera Décima y la avenida primera de Mayo por accidente de tránsito en que murió una persona #Mañ…	1
💥  Incidente vial entre dos particulares 🚘 en la Av Américas con carrera 31, sentido occ - ori.Unidad de 👮 TransitoBta asignada.	1
Incidente vial entre particular   🚘 y  un taxi  🚖‍ en la Nqs con calle 94, sentido norte - sur.Unidad de 👮 @TransitoBta asignada.	1
La brutalidad en la represión a las movilizaciones es sólo una muestra de lo que representa elegir gobernantes autoritarios.El Esmad es una fuerza de choque que sólo debería emplearse en casos de verdaderos desmanes, no es para prevenir actos violentos, es para provocarlos.	0
Hoy en vez de ciclovia debería ser nudista	0
@Andres_Gpr @OrangeEconomy También va más allá que su acotamiento, es un tema con muchas más capas.Con gusto. Saludo	0
Incidente vial entre camión 🚛 y peatón 🚶‍♂️  en la carrera 14 con calle 138 f sur (Usme pueblo)Unidad de 👮@TransitoBta y 🚑 asignadas.	1
@saludhernandezm Un hacker extraño, se roba un vídeo de un cassette.	0
#cubcoatiPara más investigación del evento puede comunicarse al número: 3202498509 - 3053247565Facebook: @club_montañismo_coati https://t.co/30R71wFytp	0
Exigimos atención inmediata de la @DefensoriaCol a las denuncias acerca de detenciónes arbitrarias e ilegales, desaparición de tres estudiantes y demás incidentes ocurridos durante la jornada de protesta el día de ayer.  #ParoEstudiantil @Redhus_bta https://t.co/tsg3DNWkBm	0
Incidente vial entre particular 🚘 y bus 🚍 en la calle 19 con carrera 27, sentido oriente - occidente.Unidad de 👮 @TransitoBta asignada.	1
¡Atención! Grave accidente entre ruta escolar y motociclista deja un muertohttps://t.co/XD5PJJY9zk https://t.co/CGU98veCbw	1
Cuando la vaca no está completa, soy  de las que pone la cara y la palabra para que nos fíen otra cachacita :3	0
Rt Av Américas sobre el puente Av boyaca occidente Oriente choque moto y vehículo congestión 3n la zona se solicita tránsito	1
@WRadioColombia @faromerog Ya vieron que el taxi Los atropello!!!	0
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Cuidado y estas """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Apoyando"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" mucho en la marcha con tus vídeos, Mucha ayuda la tuya! Que mierda representabas tu entonces? JAJAJAJA @sergio_fajardo"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	0
Ven este video sobre lo ocurrido en aproximación en Cali en días pasados. Realmente se estuvo cerca de un accidente. Excelentes los pilotos de Avianca al ayudar a sus colegas de Lufthansa. Sin embargo queda duda sobre actuar de Aerocivil  @Avianca  @LufthansaLatina @AeroCivilCol	0
📢#Atención: se reporta movilización en la Av. Villavicencio con Av. Primero de Mayo. Cerca de 200 personas aproximadamente. https://t.co/ND7sWLPiiM	0
Incidente vial caída de motociclista ‍🏍  en la Carrera 30 con calle 86 , sentido sur - norte. Unidad de 👮@TransitoBta y 🚑 asignadas.	1
